# line in -y
timestamp, encoder0, encoder1, encoder2
573527034, -4, 72735, -71124
573545042, -3, 72735, -71124
573546033, -3, 72735, -71124
573565031, -3, 72735, -71124
573566033, -3, 72735, -71124
573584059, -3, 72735, -71124
573585039, -3, 72735, -71124
573604031, -3, 72735, -71124
573605032, -3, 72735, -71124
573623062, -3, 72735, -71124
573624039, -3, 72735, -71124
573643031, -3, 72735, -71124
573644032, -3, 72735, -71124
573662066, -3, 72735, -71124
573663039, -3, 72735, -71124
573682031, -3, 72735, -71124
573683031, -3, 72735, -71124
573702047, -3, 72735, -71124
573702099, -3, 72735, -71124
573721041, -3, 72735, -71124
573722039, -3, 72735, -71124
573741077, -3, 72735, -71124
573741104, -3, 72735, -71124
573760032, -3, 72735, -71123
573761033, -3, 72735, -71123
573779031, -3, 72735, -71123
573781046, -3, 72735, -71123
573798032, -3, 72735, -71123
573801026, -3, 72735, -71124
573818031, -3, 72735, -71124
573820048, -3, 72735, -71124
573837032, -3, 72735, -71124
573840026, -3, 72735, -71124
573857031, -3, 72735, -71124
573859052, -3, 72735, -71124
573876032, -3, 72735, -71123
573879026, -3, 72735, -71123
573896031, -3, 72735, -71123
573898027, -3, 72735, -71123
573916031, -3, 72735, -71124
573917033, -3, 72735, -71124
573935031, -3, 72735, -71124
573937073, -3, 72735, -71124
573954032, -3, 72735, -71124
573957040, -3, 72735, -71124
573973031, -3, 72735, -71124
573977046, -3, 72735, -71124
573992042, -3, 72735, -71124
573997027, -3, 72735, -71124
574012031, -3, 72735, -71124
574016055, -3, 72735, -71124
574031043, -3, 72735, -71124
574036025, -3, 72735, -71124
574051041, -3, 72735, -71124
574055052, -3, 72735, -71124
574070046, -3, 72735, -71124
574075031, -3, 72735, -71124
574090030, -3, 72735, -71124
574095031, -3, 72735, -71124
574109029, -3, 72735, -71124
574115031, -3, 72735, -71124
574128030, -3, 72735, -71124
574135031, -3, 72735, -71124
574147031, -3, 72735, -71124
574155031, -3, 72735, -71124
574167030, -3, 72735, -71124
574175059, -3, 72735, -71124
574186031, -3, 72735, -71124
574195040, -3, 72735, -71124
574205043, -3, 72735, -71124
574214026, -3, 72735, -71124
574225040, -3, 72735, -71124
574233028, -3, 72735, -71124
574245041, -3, 72735, -71124
574252027, -3, 72735, -71124
574265031, -3, 72735, -71124
574271032, -3, 72735, -71124
574284032, -3, 72735, -71124
574291031, -3, 72735, -71124
574304031, -3, 72735, -71124
574311030, -3, 72735, -71124
574324032, -3, 72735, -71124
574330029, -3, 72735, -71124
574344031, -3, 72735, -71124
574349043, -3, 72735, -71124
574363032, -3, 72735, -71124
574369040, -3, 72735, -71124
574382030, -3, 72735, -71124
574389040, -3, 72735, -71124
574401043, -3, 72735, -71124
574408026, -3, 72735, -71124
574421040, -3, 72735, -71124
574427038, -3, 72735, -71124
574441040, -3, 72735, -71124
574446027, -3, 72735, -71124
574461031, -3, 72735, -71124
574465079, -3, 72735, -71124
574480032, -3, 72735, -71124
574485031, -3, 72735, -71124
574500031, -3, 72735, -71124
574505059, -3, 72735, -71124
574519042, -3, 72735, -71124
574525030, -3, 72735, -71124
574539031, -3, 72735, -71124
574544065, -3, 72735, -71124
574558040, -3, 72735, -71124
574564027, -3, 72735, -71124
574578031, -3, 72735, -71124
574583064, -3, 72735, -71124
574597049, -3, 72735, -71124
574603026, -3, 72735, -71124
574617038, -3, 72735, -71124
574622067, -3, 72735, -71124
574636073, -3, 72735, -71124
574641031, -3, 72735, -71124
574656032, -3, 72735, -71124
574660055, -3, 72735, -71124
574675074, -3, 72735, -71124
574679031, -3, 72735, -71124
574695031, -3, 72735, -71124
574699063, -3, 72735, -71124
574714069, -3, 72735, -71124
574718027, -3, 72735, -71124
574734031, -3, 72735, -71124
574737026, -3, 72735, -71124
574754074, -3, 72735, -71124
574756028, -3, 72735, -71124
574774031, -3, 72735, -71124
574775033, -3, 72735, -71124
574793063, -3, 72735, -71124
574794039, -3, 72735, -71124
574813031, -3, 72735, -71124
574814032, -3, 72735, -71124
574832113, -3, 72735, -71124
574833042, -3, 72735, -71124
574852032, -3, 72735, -71124
574853040, -3, 72735, -71124
574871077, -3, 72735, -71124
574872068, -3, 72735, -71124
574891031, -3, 72735, -71124
574892034, -3, 72735, -71124
574910075, -3, 72735, -71124
574911072, -3, 72735, -71124
574930031, -3, 72735, -71124
574931033, -3, 72735, -71124
574949079, -3, 72735, -71124
574950071, -3, 72735, -71124
574969030, -3, 72735, -71124
574970033, -3, 72735, -71124
574988030, -3, 72735, -71124
574990039, -3, 72735, -71124
575007030, -3, 72735, -71124
575010025, -3, 72735, -71124
575027031, -3, 72735, -71124
575029079, -3, 72735, -71124
575046032, -3, 72735, -71124
575049026, -3, 72735, -71124
575066031, -3, 72735, -71124
575068047, -3, 72735, -71124
575085039, -3, 72735, -71124
575088026, -3, 72735, -71124
575105031, -3, 72735, -71124
575107057, -3, 72735, -71124
575124041, -3, 72735, -71124
575127038, -3, 72735, -71124
575144031, -3, 72735, -71124
575147076, -3, 72735, -71124
575163032, -3, 72735, -71124
575167027, -3, 72735, -71124
575183031, -3, 72735, -71124
575186073, -3, 72735, -71124
575202041, -3, 72735, -71124
575206027, -3, 72735, -71124
575222039, -3, 72735, -71124
575225027, -3, 72735, -71124
575242042, -3, 72735, -71124
575244026, -3, 72735, -71124
575262031, -3, 72735, -71124
575263033, -3, 72735, -71124
575281043, -3, 72735, -71124
575282035, -3, 72735, -71124
575301040, -3, 72735, -71124
575301065, -3, 72735, -71124
575320041, -3, 72735, -71124
575321040, -3, 72735, -71124
575340031, -3, 72735, -71124
575341033, -3, 72735, -71124
575359042, -3, 72735, -71124
575360033, -3, 72735, -71124
575379031, -3, 72735, -71124
575380033, -3, 72735, -71124
575398041, -3, 72735, -71124
575399032, -3, 72735, -71124
575418031, -3, 72735, -71124
575419033, -3, 72735, -71124
575437061, -3, 72735, -71124
575438038, -3, 72735, -71124
575457031, -3, 72735, -71124
575458033, -3, 72735, -71124
575476052, -3, 72735, -71124
575477043, -3, 72735, -71124
575496032, -3, 72735, -71124
575497040, -3, 72735, -71124
575515056, -3, 72735, -71124
575516039, -3, 72735, -71124
575535032, -3, 72735, -71124
575536033, -3, 72735, -71124
575554064, -3, 72735, -71124
575555061, -3, 72735, -71124
575574031, -3, 72735, -71124
575575032, -3, 72735, -71124
575593064, -3, 72735, -71124
575594045, -3, 72735, -71124
575613031, -3, 72735, -71124
575614034, -3, 72735, -71124
575632063, -3, 72735, -71124
